custID,contact,duration,age,region,job,marital,education,default,balance,housing,loan,Equal_balance,Equal_Frequence,Binned_age,response,Flag
2,3,151,44,3,10,3,2,1,34,2,1,1,2,3,0,1
4,3,92,47,3,2,2,4,1,1751,2,1,4,1,3,0,1
5,3,198,33,4,12,3,4,1,1,1,1,1,3,1,0,0
6,3,139,35,3,5,2,3,1,269,2,1,2,2,2,0,0
7,3,217,28,7,5,3,3,1,520,2,2,2,3,1,0,1
9,3,50,58,4,6,2,1,1,141,2,1,2,1,4,0,1
10,3,55,43,6,10,3,2,1,690,2,1,3,1,3,0,1
12,3,137,29,6,1,3,2,1,453,2,1,2,2,1,0,1
13,3,517,53,4,10,2,2,1,7,2,1,1,4,4,0,1
14,3,71,58,1,10,2,4,1,83,2,1,1,1,4,0,1
15,3,174,57,5,8,2,2,1,188,2,1,2,2,4,0,1
17,3,98,45,5,1,3,4,1,15,2,1,1,1,3,0,1
18,3,38,57,4,2,2,1,1,60,2,1,1,1,4,0,1
19,3,219,60,5,6,2,1,1,70,2,1,1,3,4,0,0
20,3,54,33,5,8,2,2,1,0,2,1,1,1,1,0,1
21,3,262,28,6,2,2,2,1,841,2,2,3,3,1,0,1
22,3,164,56,4,5,2,3,1,906,2,1,3,2,4,0,1
23,3,160,32,4,2,3,1,1,27,2,2,1,2,1,0,1
25,3,181,40,4,6,2,1,1,0,2,2,1,3,3,0,1
26,3,172,44,3,1,2,2,1,-433,2,1,1,2,3,0,1
28,3,127,52,4,3,2,2,1,131,2,2,2,2,4,0,0
29,3,255,46,5,5,3,2,1,-286,2,1,1,3,3,0,1
30,3,348,36,4,10,3,2,1,308,2,2,2,4,2,0,1
31,3,225,57,4,10,2,2,1,976,1,2,3,3,4,0,1
32,3,230,49,5,5,2,3,1,440,2,1,2,3,4,0,0
33,3,208,60,4,1,2,2,1,45,2,2,1,3,4,0,1
35,3,336,51,5,5,2,3,1,12366,2,1,4,4,4,0,0
36,3,242,57,4,10,1,2,1,73,2,1,1,3,4,0,1
37,3,365,25,7,2,2,2,1,-8,2,1,1,4,1,0,1
38,3,1666,53,3,10,2,2,1,-3,1,1,1,4,4,0,1
39,3,577,36,4,1,1,2,1,588,2,1,3,4,2,0,1
41,3,160,44,4,8,1,2,1,3007,2,1,4,2,3,0,0
42,3,180,50,1,5,2,2,1,57,2,1,1,2,4,0,0
43,3,22,60,6,2,2,4,1,121,2,1,2,1,4,0,1
44,3,1492,54,6,6,2,2,1,615,2,1,3,4,4,0,1
45,3,616,58,5,6,2,4,1,112,2,1,2,4,4,0,1
46,3,242,36,2,1,3,1,1,-199,2,1,1,3,2,0,1
47,3,355,58,3,7,2,3,1,-423,2,1,1,4,4,0,1
49,3,160,55,5,10,1,2,1,0,1,1,1,2,4,0,1
50,3,363,29,4,5,3,3,1,0,2,1,1,4,1,0,1
51,3,266,54,3,2,2,2,1,1501,2,1,3,3,4,0,1
52,3,253,48,7,5,1,3,1,-284,2,1,1,3,3,0,1
53,3,179,32,6,5,2,3,1,0,2,1,1,2,1,0,1
54,3,787,42,4,1,3,2,1,-88,2,1,1,4,3,0,0
55,3,145,24,3,10,3,2,1,-120,2,2,1,2,1,0,1
56,3,174,38,4,3,3,3,1,283,1,2,2,2,2,0,1
57,3,104,38,2,5,3,3,1,493,2,1,2,2,2,0,1
58,3,13,47,4,2,2,4,1,356,2,1,2,1,3,0,1
59,3,185,40,4,2,3,4,1,28,2,1,1,3,3,0,1
60,3,1778,46,4,8,2,1,1,208,2,1,2,4,3,0,1
61,3,138,32,6,1,2,3,1,0,2,1,1,2,1,0,1
64,3,391,33,3,8,2,2,1,919,2,1,3,4,1,0,1
65,3,357,49,2,2,2,4,1,179,2,1,2,4,4,0,1
66,3,91,51,4,5,2,3,1,7593,2,1,4,1,4,0,0
